,user_name,date,text,hashtags,Date,Time
442,"Myka Villanueva, CPA",2022-10-12 08:54:30+00:00,Excited for the finaleeeeee! #DragRacePH #TeamMarinaSummers,"['DragRacePH', 'TeamMarinaSummers']",2022-10-12,08:54:30
443,Reddish Oligo,2022-10-12 08:47:57+00:00,Let's gooooooooooo!!!🌈🦄💄 #DragRacePH #DragRacePHfinale #TeamMarinaSummers https://t.co/9fQ05eW2t8,"['DragRacePH', 'DragRacePHfinale', 'TeamMarinaSummers']",2022-10-12,08:47:57
444,ciano,2022-10-12 08:46:29+00:00,#TeamMarinaSummers tayo for tonight's video,['TeamMarinaSummers'],2022-10-12,08:46:29
445,kaishie,2022-10-12 08:46:13+00:00,"@marinaxsummers Good luck Queen @marinaxsummers 🙏👑👸
#TeamMarinaSummers #DragRacePH","['TeamMarinaSummers', 'DragRacePH']",2022-10-12,08:46:13
446,alaula,2022-10-12 08:37:49+00:00,yes I'm both #TeamMarinaSummers and #TeamPreciousPaulaNicole 😭❤❤,"['TeamMarinaSummers', 'TeamPreciousPaulaNicole']",2022-10-12,08:37:49
447,Japjap ⌬,2022-10-12 08:34:35+00:00,waiting na lang for her crowning tonight 👑 #TeamMarinaSummers #DragRacePH https://t.co/RQLfL1LtXf,"['TeamMarinaSummers', 'DragRacePH']",2022-10-12,08:34:35
448,𝓬.,2022-10-12 08:32:54+00:00,#TeamMarinaSummers since day one!!,['TeamMarinaSummers'],2022-10-12,08:32:54
449,catherine,2022-10-12 08:22:33+00:00,"DRAG RACE PHILIPPINES FINALE TODAY!!! 
#TeamMarinaSummers 
#DragRacePHfinale","['TeamMarinaSummers', 'DragRacePHfinale']",2022-10-12,08:22:33
450,riαn,2022-10-12 08:19:03+00:00,“ohmyghad is that Marina i’m your filipino winner” omggg i can literally hear it and feel it yaaasss for #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,08:19:03
451,ziggy,2022-10-12 08:17:27+00:00,#TeamEvaLeQueen #TeamMarinaSummers GO MY QUEENS!!,"['TeamEvaLeQueen', 'TeamMarinaSummers']",2022-10-12,08:17:27
452,Andrew,2022-10-12 08:15:37+00:00,"Please don’t mess this up @dragraceph. There is one queen who met👏🏽every👏🏽challenge👏🏽. Never lipsynced AND EXCELLED throughout. I’m ready for a #dragrace winner FINALLY who looks like me, &amp; that is @marinaxsummers. 🤩🇵🇭👑 #TeamMarina #TeamMarinaSummers https://t.co/SAicOtIrcY",,2022-10-12,08:15:37
453,Ivan,2022-10-12 08:12:30+00:00,Move on agad. Onting drama lang pero move on agad. Drag Race PH finale mamaya. #TeamMarinaSummers let's go!,['TeamMarinaSummers'],2022-10-12,08:12:30
454,philowmel,2022-10-12 08:10:56+00:00,#TeamMarinaSummers ALL THE WAY!💛💙,['TeamMarinaSummers'],2022-10-12,08:10:56
