,user_name,date,text,hashtags,Date,Time
61,Meanne,2022-10-12 16:20:37+00:00,"Your mama is behind you, Queen @PreciousPaulaN. #DragRacePHfinale #TeamPreciousPaulaNicole 

VIDEO:
https://t.co/2mruzmA7HA https://t.co/28TXRYERn0","['DragRacePHfinale', 'TeamPreciousPaulaNicole']",2022-10-12,16:20:37
62,𝚖𝚊𝚜𝚑𝚎𝚠 🍦,2022-10-12 16:17:54+00:00,"DASURVVVV!!! Condragulations, @PreciousPaulaN!! 👑🏁❤️

#TeamPreciousPaulaNicole @dragraceph",['TeamPreciousPaulaNicole'],2022-10-12,16:17:54
63,Archie Malabanan,2022-10-12 16:13:53+00:00,"#DragRacePHfinale I knew it, Precious it is. I am Team Marina and Team Eva pero ramdam ko na from Ep 5/6 palang si Precious na to sa huli. It was a good show though. Congrats, #TeamPreciousPaulaNicole !",['DragRacePHfinale'],2022-10-12,16:13:53
64,Infinite Nueve Productions llc,2022-10-12 16:12:32+00:00,Check out Djnúeve9's video! #TikTok https://t.co/KhfnkZNB2B #TeamPreciousPaulaNicole #DragRacePHfinale #dolar #ohno #art,"['TikTok', 'TeamPreciousPaulaNicole', 'DragRacePHfinale', 'dolar', 'ohno', 'art']",2022-10-12,16:12:32
65,reyn,2022-10-12 16:12:28+00:00,anw #TeamMarina and #TeamPreciousPaulaNicole FOREVER!! &lt;33,"['TeamMarina', 'TeamPreciousPaulaNicole']",2022-10-12,16:12:28
66,mara paula nicole | divoto + tampalpukean 💖✨,2022-10-12 16:06:57+00:00,"like the v quick spaghetti for such a brief moment during the “tila lalong lumambot” lyric

even without the reveals, hindi talaga one-note yung performance ♥️✨

it’s everythinggg 😭

i cant help w the essays, ang husay lang talaga.

#DragRacePHfinale 
#TeamPreciousPaulaNicole",,2022-10-12,16:06:57
70,Riby.yuh,2022-10-12 16:02:44+00:00,"Congratulations! @PreciousPaulaN 
Dusurve!
#TeamPreciousPaulaNicole",['TeamPreciousPaulaNicole'],2022-10-12,16:02:44
72,💯% Fixed Guaranteed Surebet 🎉🎖️🏆⚽,2022-10-12 16:00:11+00:00,"SUCCESSFULLY WON ALL WINNING HAVE BEEN UPDATED FOR ALL DOUBTING THOMAS TO CONFIRM AS USUAL 👆👆👆👆👆👆👆👆👆👆
Chat admin up for more update on our upcoming fixed correct score #TheLegendOfMaulaJatt #TeamPreciousPaulaNicole https://t.co/jdfdBXaPB4",,2022-10-12,16:00:11
73,Don Brandon Barreto,2022-10-12 15:59:35+00:00,"Y’all!!! PPN killed that lipsync between Marina! Bat ang pait nyo?! 

#DragRacePHfinale #TeamPreciousPaulaNicole #BossRodolfo","['DragRacePHfinale', 'TeamPreciousPaulaNicole', 'BossRodolfo']",2022-10-12,15:59:35
79,🧚‍♀️,2022-10-12 15:38:00+00:00,"she got the fucking crown! 🥹👑 love you, @PreciousPaulaN 💓 will always be proud of ü — ready na ang buong team ppn sa victory party!!!!!! 🥰👏 #TeamPrecious #TeamPreciousPaulaNicole #DragRacePhilippines https://t.co/dSSWRYcQEB",,2022-10-12,15:38:00
